Date,Open,High,Low,Close,Adj Close,Volume
2/7/2018,5.62,5.68,5.53,5.61,5.61,3602300
2/8/2018,5.6,5.73,5.55,5.58,5.58,3022900
2/9/2018,5.61,5.65,5.25,5.46,5.46,4253500
2/12/2018,5.5,5.5,5.22,5.26,5.26,4098300
2/13/2018,5.2,5.42,5.2,5.29,5.29,2410300
2/14/2018,5.3,5.77,5.27,5.67,5.67,4999800
2/15/2018,5.71,5.77,5.58,5.62,5.62,1876600
2/16/2018,5.6,5.719,5.475,5.49,5.49,3643600
2/20/2018,5.45,5.62,5.45,5.57,5.57,2769100
2/21/2018,5.59,5.65,5.54,5.55,5.55,1687600
2/22/2018,5.55,5.581,5.39,5.46,5.46,1977800
2/23/2018,5.46,5.6,5.46,5.59,5.59,1556800
2/26/2018,5.6,5.73,5.59,5.65,5.65,2018800
2/27/2018,5.63,5.71,5.37,5.46,5.46,3716800
2/28/2018,5.45,5.5,5.36,5.38,5.38,1780200
3/1/2018,5.36,5.48,5.32,5.42,5.42,2776600
3/2/2018,5.35,5.61,5.35,5.56,5.56,3000000
3/5/2018,5.51,5.75,5.487,5.73,5.73,2951800
3/6/2018,5.72,5.88,5.7,5.83,5.83,2386500
3/7/2018,5.81,5.88,5.69,5.79,5.79,1858100
3/8/2018,5.81,5.845,5.71,5.74,5.74,1314500
3/9/2018,5.67,5.68,5.42,5.51,5.51,3245100
3/12/2018,5.51,5.64,5.505,5.63,5.63,2443100
3/13/2018,5.63,5.72,5.6,5.63,5.63,1665900
3/14/2018,5.67,5.68,5.593,5.61,5.61,1148200
3/15/2018,5.6,5.69,5.59,5.62,5.62,1524200
3/16/2018,5.6,5.63,5.53,5.54,5.54,2189200
3/19/2018,5.54,5.55,5.32,5.33,5.33,2811800
3/20/2018,5.36,5.37,4.92,5,5,5033500
3/21/2018,4.98,5.06,4.87,4.92,4.92,2778700
3/22/2018,4.88,4.917,4.755,4.78,4.78,3191400
3/23/2018,4.74,4.78,4.56,4.58,4.58,3886000
3/26/2018,4.67,4.77,4.56,4.73,4.73,3615700
3/27/2018,4.76,5.09,4.75,4.91,4.91,5114700
3/28/2018,4.93,4.98,4.76,4.84,4.84,2442300
3/29/2018,4.84,4.89,4.67,4.79,4.79,1843700
4/2/2018,4.72,4.78,4.45,4.53,4.53,4035600
4/3/2018,4.53,4.66,4.465,4.54,4.54,3289600
4/4/2018,4.48,4.83,4.42,4.78,4.78,3320800
4/5/2018,4.8,4.94,4.73,4.91,4.91,1420900
4/6/2018,4.89,5.05,4.84,4.88,4.88,1829200
4/9/2018,4.88,4.91,4.66,4.71,4.71,2631800
4/10/2018,4.76,4.85,4.72,4.76,4.76,1968300
4/11/2018,4.71,4.94,4.71,4.87,4.87,1875100
4/12/2018,4.89,5.3,4.88,5.22,5.22,8268400
4/13/2018,5.42,5.5,5.23,5.26,5.26,5523700
4/16/2018,5.3,5.72,5.21,5.58,5.58,6604900
